year,team,city,isCapital
2019,FK Sutjeska,Niksic,No
2018,FK Sutjeska,Niksic,No
2017,FK Budućnost Podgorica,Podgorica,Yes
2016,Mladost Podgorica,Podgorica,Yes
2015,FK Rudar Pljevlja,Pljevlja,No
2014,FK Sutjeska,Niksic,No
2013,FK Sutjeska,Niksic,No
2012,FK Budućnost Podgorica,Podgorica,Yes
2011,FK Mogren Budva,Budva,No
2010,FK Rudar Pljevlja,Pljevlja,No
2009,FK Mogren Budva,Budva,No
2008,FK Budućnost Podgorica,Podgorica,Yes
2007,FK Zeta,Podgorica,Yes
